sample	PRS
HG01518	-3.71555116246295
HG01519	-4.00926827303843
HG01521	3.87014426615861
HG01522	3.22802041565466
HG01524	-2.09386830368613
HG01525	2.52651380859676
HG01527	-5.20198142405168
HG01528	-3.40978110332656
HG01530	0.546079990303013
HG01531	4.37612252601052
HG01536	0.514090346713673
HG01537	2.9928800233604
HG01550	-5.53993738631841
HG01551	-4.98941151473387
HG01556	-5.96519755896282
HG01565	-7.36560696758908
HG01566	-4.61571873692916
HG01571	-4.00759034371121
HG01572	-3.18214602041
HG01577	-14.55914271162
HG01578	0.80674637260107
HG01583	-0.744359922135052
HG01586	-5.15784663631181
HG01589	-2.69406365969825
HG01593	0.262413356995379
HG01595	-9.69565435852165
HG01596	-8.65436773783117
HG01597	-9.92613032764128
HG01598	-11.2913980636007
HG01599	-8.282359222336
HG01600	-14.3865835021175
HG01602	-0.590236354549629
HG01603	-6.07921208096678
HG01605	-3.04193169349392
HG01606	-4.66025949231863
HG01607	2.9045741519186
HG01608	-0.774117296624986
HG01610	2.43292776556967
HG01612	-1.46919311980781
HG01613	-1.8654675628436
HG01615	-5.07215989524949
HG01617	0.647405257433287
HG01618	-3.4910755367645
HG01619	3.93156171943747
HG01620	-9.69040663263046
HG01623	-9.13297108127182
HG01624	-0.020082363907095
HG01625	-7.17825696084391
HG01626	-1.56902412460309
HG01628	0.236705165285854
HG01630	-5.64345426024194
HG01631	2.57726287693707
HG01632	-11.0137601104287
HG01668	-2.40894018845966
HG01669	-4.32030684648213
HG01670	-3.4370561147132
HG01672	-0.936634865595403
HG01673	-1.19922016074463
HG01675	-4.48084578131161
HG01676	-3.16569007787625
HG01678	-7.70896134120525
HG01679	7.7447133911783
HG01680	-0.870021729960406
HG01682	-7.3205647647313
HG01684	-2.41945829650766
HG01685	0.613532656643616
HG01686	5.9046421885254
HG01694	-4.96900334572319
HG01695	-2.0865300173741
HG01697	-7.30084107536214
HG01699	-1.64714459416354
HG01700	0.311288080575305
HG01702	0.276362415027424
HG01704	-0.406775949706046
HG01705	-4.87628014391367
HG01707	-2.95087912041577
HG01708	4.77977176737732
HG01709	-11.3099846815844
HG01710	-2.98327502265125
HG01746	-8.45348202474914
HG01747	1.23808451585374
HG01756	-0.791511375241366
HG01757	-7.34930584313841
HG01761	-2.55505525847369
HG01762	1.04896392368599
HG01765	-5.95475204581909
HG01766	6.12640483650153
HG01767	-7.79177344109821
HG01768	-4.33673459398196
HG01770	-1.36725366880693
HG01771	-6.74705662856335
HG01773	-6.39465331335071
HG01775	0.29345614730151
HG01776	-1.08508259779477
HG01777	-0.0938221534395538
HG01779	5.46544439084976
HG01781	-5.00308067477846
HG01783	2.18804087506514
HG01784	0.260409928066046
HG01785	-6.21265204227564
HG01786	0.505618549689704
HG01789	-3.1943510579446
HG01790	3.70115175063283
HG01791	8.27611435124271
HG01794	-13.8579482210396
HG01795	-6.67432260055721
HG01796	-10.2220253877877
HG01797	-9.81478977907503
HG01798	-6.22904508098861
HG01799	-10.6484522116616
HG01800	-13.4195883922191
